Sex,SexCode,Weight,Height,Class
Female,0,105,62,U
Female,0,99,65,U
Female,0,117,60,U
Female,0,105,64,U
Female,0,92,60,U
Female,0,120,66,U
Female,0,106,63,U
Female,0,175,67,U
Female,0,120,65,U
Female,0,115,64,U
Female,0,173,67,U
Female,0,120,65,U
Male,1,150,71,U
Male,1,157,72,U
Male,1,160,69,U
Male,1,150,71,U
Male,1,145,70,U
Male,1,175,65,U
Male,1,205,73,U
Male,1,150,68,U
Male,1,125,68,U
Male,1,195,74,U
Male,1,159,70,U
Male,1,175,68,U
Male,1,198,72,U
Male,1,210,73,U
Male,1,130,65,U
Male,1,202,69,U
Male,1,145,69,U
Male,1,180,72,U
Male,1,140,71,U
Male,1,155,72,U
Male,1,120,70,U
Male,1,180,71,U
Male,1,155,70,U
Male,1,130,64,U
Female,0,135,65,G
Female,0,140,62,G
Female,0,132,66,G
Female,0,136,67,G
Female,0,121,65,G
Female,0,119,61,G
Female,0,115,64,G
Female,0,100,64,G
Female,0,143,64,G
Female,0,125,69,G
Female,0,125,62,G
Female,0,119,60,G
Male,1,175,71,G
Male,1,260,72,G
Male,1,210,78,G
Male,1,160,65,G
Male,1,155,71,G
Male,1,170,68,G
Male,1,154,70,G
Male,1,146,70,G
Male,1,170,75,G
Male,1,176,68,G
Male,1,177,69,G
Male,1,165,67,G
Male,1,165,75,G
Male,1,160,73,G
Male,1,155,66,G
Male,1,180,77,G
